Sales Person,Geography,Product,Date,Amount,Boxes
Andria Kimpton,Canada,Peanut Butter Cubes,2021-10-18,1589,94
Jehu Rudeforth,UK,Orange Choco,2021-10-18,7574,421
Jehu Rudeforth,UK,70% Dark Bites,2021-10-18,11564,1680
Ches Bonnell,Australia,Mint Chip Choco,2021-10-18,784,56
Rafaelita Blaksland,India,Almond Choco,2021-10-18,2100,132
Andria Kimpton,USA,Smooth Sliky Salty,2021-10-18,10640,1540
Husein Augar,India,Smooth Sliky Salty,2021-10-18,6006,980
Kaine Padly,UK,Milk Bars,2021-10-18,483,31
Ches Bonnell,New Zealand,Smooth Sliky Salty,2021-10-18,13804,1960
Camilla Castle,Canada,50% Dark Bites,2021-10-18,2975,115
Kaine Padly,USA,Organic Choco Syrup,2021-10-18,1407,62
Beverie Moffet,Australia,Spicy Special Slims,2021-10-18,245,31
Dotty Strutley,UK,Eclairs,2021-10-18,1106,139
Oby Sorrel,USA,Smooth Sliky Salty,2021-10-18,1169,167
Dotty Strutley,Australia,Baker's Choco Chips,2021-10-18,343,16
Beverie Moffet,Australia,Manuka Honey Choco,2021-10-18,5558,242
Husein Augar,India,Milk Bars,2021-10-18,357,23
Andria Kimpton,Australia,Choco Coated Almonds,2021-10-18,28,3
Ches Bonnell,India,Manuka Honey Choco,2021-10-18,3192,146
Wilone O'Kielt,Canada,Organic Choco Syrup,2021-10-18,3493,146
Dotty Strutley,India,Organic Choco Syrup,2021-10-18,6335,264
Gigi Bohling,New Zealand,Caramel Stuffed Bars,2021-10-18,12474,840
Ches Bonnell,India,Almond Choco,2021-10-18,630,45
Kaine Padly,New Zealand,50% Dark Bites,2021-10-18,6657,267
Wilone O'Kielt,New Zealand,Spicy Special Slims,2021-10-18,2275,253
Curtice Advani,India,Spicy Special Slims,2021-10-18,5110,511
Kelci Walkden,New Zealand,Orange Choco,2021-10-18,1743,88
Wilone O'Kielt,India,85% Dark Bars,2021-10-18,6860,343
Curtice Advani,UK,Orange Choco,2021-10-18,9940,524
Gigi Bohling,USA,Smooth Sliky Salty,2021-10-18,896,150
Camilla Castle,Australia,White Choc,2021-10-18,1757,136
Dotty Strutley,Australia,Orange Choco,2021-10-18,1568,88
Jehu Rudeforth,Canada,70% Dark Bites,2021-10-18,6454,910
Gigi Bohling,UK,Organic Choco Syrup,2021-10-18,497,23
Brien Boise,Canada,Caramel Stuffed Bars,2021-10-18,7210,425
Kaine Padly,USA,Smooth Sliky Salty,2021-10-18,11319,1610
Marney O'Breen,Australia,Milk Bars,2021-10-18,10388,693
Curtice Advani,New Zealand,White Choc,2021-10-18,2086,161
Dennison Crosswaite,Australia,Orange Choco,2021-10-18,8750,487
Madelene Upcott,USA,Eclairs,2021-10-19,5775,840
Gunar Cockshoot,New Zealand,Choco Coated Almonds,2021-10-19,16604,1680
Marney O'Breen,USA,Almond Choco,2021-10-19,5348,357
Roddy Speechley,Australia,Peanut Butter Cubes,2021-10-19,4613,257
Beverie Moffet,UK,Almond Choco,2021-10-19,6811,487
Marney O'Breen,Canada,Drinking Coco,2021-10-19,1330,50
Roddy Speechley,USA,Organic Choco Syrup,2021-10-19,11501,523
Dotty Strutley,USA,Caramel Stuffed Bars,2021-10-19,1407,94
Roddy Speechley,USA,After Nines,2021-10-19,4249,266
Husein Augar,Canada,White Choc,2021-10-19,13377,1190
Dotty Strutley,New Zealand,Smooth Sliky Salty,2021-10-19,3514,440
Ches Bonnell,USA,After Nines,2021-10-19,1960,123
Mallorie Waber,India,99% Dark & Pure,2021-10-19,9954,453
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,2021-10-19,5775,525
Brien Boise,UK,Smooth Sliky Salty,2021-10-19,12537,1820
Rafaelita Blaksland,Canada,50% Dark Bites,2021-10-19,875,33
Roddy Speechley,Australia,Choco Coated Almonds,2021-10-19,3220,322
Roddy Speechley,USA,Spicy Special Slims,2021-10-19,2408,268
Dennison Crosswaite,Canada,85% Dark Bars,2021-10-19,10892,545
Dotty Strutley,New Zealand,Manuka Honey Choco,2021-10-19,6706,305
Marney O'Breen,India,Eclairs,2021-10-19,4599,657
Madelene Upcott,New Zealand,Almond Choco,2021-10-19,5068,338
Husein Augar,India,After Nines,2021-10-19,11830,696
Camilla Castle,New Zealand,Raspberry Choco,2021-10-19,5894,268
Beverie Moffet,Australia,Milk Bars,2021-10-19,21,2
Dotty Strutley,New Zealand,Mint Chip Choco,2021-10-19,371,29
Dennison Crosswaite,Canada,Raspberry Choco,2021-10-19,9275,442
Brien Boise,Canada,Peanut Butter Cubes,2021-10-19,3087,182
Madelene Upcott,UK,Mint Chip Choco,2021-10-19,6496,464
Kaine Padly,India,Manuka Honey Choco,2021-10-19,6664,318
Brien Boise,Canada,White Choc,2021-10-19,6356,489
Brien Boise,India,Eclairs,2021-10-19,3668,459
Dotty Strutley,India,Orange Choco,2021-10-19,2709,136
Oby Sorrel,USA,Drinking Coco,2021-10-19,3031,117
Roddy Speechley,USA,Smooth Sliky Salty,2021-10-20,889,127
Jan Morforth,New Zealand,99% Dark & Pure,2021-10-20,13223,575
Camilla Castle,USA,White Choc,2021-10-20,1603,124
Jan Morforth,India,Peanut Butter Cubes,2021-10-20,4606,243
Madelene Upcott,Canada,Almond Choco,2021-10-20,2345,147
Dennison Crosswaite,Canada,Orange Choco,2021-10-20,4522,252
Rafaelita Blaksland,USA,Almond Choco,2021-10-20,20503,1470
Husein Augar,UK,85% Dark Bars,2021-10-20,42,3
Mallorie Waber,UK,Fruit & Nut Bars,2021-10-20,8659,542
Andria Kimpton,USA,85% Dark Bars,2021-10-20,11242,563
Jehu Rudeforth,India,Almond Choco,2021-10-20,7518,502
Beverie Moffet,UK,70% Dark Bites,2021-10-20,5495,611
Camilla Castle,India,Manuka Honey Choco,2021-10-20,12110,577
Mallorie Waber,USA,After Nines,2021-10-20,1568,88
Brien Boise,New Zealand,70% Dark Bites,2021-10-20,14273,1610
Roddy Speechley,UK,Almond Choco,2021-10-20,833,53
Van Tuxwell,UK,Baker's Choco Chips,2021-10-20,3073,134
Dennison Crosswaite,USA,Peanut Butter Cubes,2021-10-20,10346,609
Curtice Advani,New Zealand,Mint Chip Choco,2021-10-20,3577,299
Wilone O'Kielt,New Zealand,70% Dark Bites,2021-10-20,6909,840
Jehu Rudeforth,USA,Eclairs,2021-10-20,4165,695
Beverie Moffet,USA,50% Dark Bites,2021-10-20,6307,243
Brien Boise,UK,Baker's Choco Chips,2021-10-20,1106,51
Karlen McCaffrey,India,Baker's Choco Chips,2021-10-20,1610,68
Roddy Speechley,Canada,50% Dark Bites,2021-10-20,3710,143
Jehu Rudeforth,Australia,Manuka Honey Choco,2021-10-20,7259,316
Gunar Cockshoot,India,50% Dark Bites,2021-10-20,5523,205
Husein Augar,UK,99% Dark & Pure,2021-10-20,2121,97
Marney O'Breen,USA,Milk Bars,2021-10-20,3227,202
Dennison Crosswaite,USA,Fruit & Nut Bars,2021-10-20,2905,194
Brien Boise,New Zealand,Spicy Special Slims,2021-10-20,1827,229
Gigi Bohling,New Zealand,70% Dark Bites,2021-10-20,987,110
Barr Faughny,Canada,After Nines,2021-10-20,7056,392
Jan Morforth,New Zealand,Milk Bars,2021-10-20,5579,372
Mallorie Waber,India,50% Dark Bites,2021-10-20,7350,273
Kelci Walkden,UK,Mint Chip Choco,2021-10-20,22358,1890
Barr Faughny,USA,Milk Bars,2021-10-20,665,42
Wilone O'Kielt,Canada,Spicy Special Slims,2021-10-20,798,89
Curtice Advani,New Zealand,Choco Coated Almonds,2021-10-20,5558,556
Beverie Moffet,India,Almond Choco,2021-10-20,6818,455
Husein Augar,Canada,Peanut Butter Cubes,2021-10-20,9303,548
Roddy Speechley,India,Almond Choco,2021-10-20,2940,196
Husein Augar,India,Spicy Special Slims,2021-10-20,546,61
Beverie Moffet,UK,Eclairs,2021-10-20,8001,980
Mallorie Waber,Canada,Choco Coated Almonds,2021-10-20,10052,980
Gigi Bohling,Canada,99% Dark & Pure,2021-10-20,1449,63
Beverie Moffet,New Zealand,Drinking Coco,2021-10-20,3710,149
Wilone O'Kielt,UK,Eclairs,2021-10-20,2576,368
Gunar Cockshoot,Australia,Manuka Honey Choco,2021-10-20,4242,193
Madelene Upcott,Australia,Manuka Honey Choco,2021-10-20,2527,110
Camilla Castle,USA,Orange Choco,2021-10-20,10255,570
Jehu Rudeforth,USA,Organic Choco Syrup,2021-10-20,1365,57
Ches Bonnell,USA,50% Dark Bites,2021-10-20,1358,51
Kelci Walkden,Canada,50% Dark Bites,2021-10-20,2443,94
Ches Bonnell,India,85% Dark Bars,2021-10-20,2856,159
Madelene Upcott,Australia,White Choc,2021-10-20,1477,135
Beverie Moffet,USA,After Nines,2021-10-21,1323,74
Roddy Speechley,UK,Drinking Coco,2021-10-21,7371,295
Jan Morforth,USA,After Nines,2021-10-21,4718,278
Ches Bonnell,Australia,Drinking Coco,2021-10-21,2114,79
Jan Morforth,Australia,Choco Coated Almonds,2021-10-21,11032,980
Rafaelita Blaksland,USA,Organic Choco Syrup,2021-10-21,1680,74
Andria Kimpton,UK,Fruit & Nut Bars,2021-10-21,770,52
Camilla Castle,Canada,85% Dark Bars,2021-10-21,1106,56
Brien Boise,USA,Raspberry Choco,2021-10-21,3612,172
Barr Faughny,Australia,Manuka Honey Choco,2021-10-21,1687,81
Van Tuxwell,UK,Peanut Butter Cubes,2021-10-21,6797,378
Jehu Rudeforth,USA,Orange Choco,2021-10-21,12908,646
Rafaelita Blaksland,New Zealand,Mint Chip Choco,2021-10-21,4886,376
Wilone O'Kielt,New Zealand,Organic Choco Syrup,2021-10-22,3136,131
Roddy Speechley,UK,85% Dark Bars,2021-10-22,434,22
Dennison Crosswaite,India,Milk Bars,2021-10-22,1771,119
Husein Augar,Canada,Organic Choco Syrup,2021-10-22,6783,309
Gigi Bohling,India,70% Dark Bites,2021-10-22,2660,380
Oby Sorrel,Australia,After Nines,2021-10-22,6293,350
Kelci Walkden,UK,50% Dark Bites,2021-10-22,8442,338
Jan Morforth,Australia,Baker's Choco Chips,2021-10-22,9107,380
Brien Boise,USA,Drinking Coco,2021-10-22,371,15
Kaine Padly,New Zealand,Fruit & Nut Bars,2021-10-22,5432,388
Marney O'Breen,India,Choco Coated Almonds,2021-10-22,581,53
Marney O'Breen,New Zealand,Caramel Stuffed Bars,2021-10-22,805,48
Karlen McCaffrey,India,Fruit & Nut Bars,2021-10-22,7497,500
Camilla Castle,Canada,After Nines,2021-10-22,3990,250
Barr Faughny,New Zealand,70% Dark Bites,2021-10-22,294,42
Ches Bonnell,UK,Manuka Honey Choco,2021-10-22,5215,238
Dennison Crosswaite,Australia,Fruit & Nut Bars,2021-10-22,8925,595
Marney O'Breen,India,Peanut Butter Cubes,2021-10-22,4746,250
Jehu Rudeforth,India,50% Dark Bites,2021-10-22,10269,381
Brien Boise,New Zealand,Fruit & Nut Bars,2021-10-22,5383,385
Marney O'Breen,New Zealand,Orange Choco,2021-10-22,7889,439
Barr Faughny,India,Raspberry Choco,2021-10-22,6300,315
Kaine Padly,UK,Raspberry Choco,2021-10-22,7455,373
Van Tuxwell,New Zealand,After Nines,2021-10-22,10843,603
Barr Faughny,Canada,White Choc,2021-10-22,3829,349
Marney O'Breen,Australia,After Nines,2021-10-22,1806,107
Beverie Moffet,India,50% Dark Bites,2021-10-22,5159,192
Beverie Moffet,New Zealand,Almond Choco,2021-10-22,7749,485
Karlen McCaffrey,UK,Raspberry Choco,2021-10-22,7210,361
Beverie Moffet,Canada,70% Dark Bites,2021-10-22,11781,1680
Jehu Rudeforth,India,Baker's Choco Chips,2021-10-22,1785,82
Beverie Moffet,Canada,Manuka Honey Choco,2021-10-22,4837,220
Madelene Upcott,New Zealand,Milk Bars,2021-10-22,9030,565
Marney O'Breen,Australia,Eclairs,2021-10-22,469,59
Wilone O'Kielt,New Zealand,White Choc,2021-10-22,805,68
Van Tuxwell,UK,Manuka Honey Choco,2021-10-22,2639,126
Mallorie Waber,Australia,Orange Choco,2021-10-22,2842,150
Andria Kimpton,UK,70% Dark Bites,2021-10-22,2625,375
Gigi Bohling,USA,Mint Chip Choco,2021-10-22,4543,325
Kelci Walkden,UK,99% Dark & Pure,2021-10-22,18907,840
Gigi Bohling,Australia,Spicy Special Slims,2021-10-22,9016,1120
Jan Morforth,India,99% Dark & Pure,2021-10-22,10815,451
Jehu Rudeforth,USA,Raspberry Choco,2021-10-22,5824,292
Dotty Strutley,India,Raspberry Choco,2021-10-22,6496,325
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,2021-10-22,7441,438
Wilone O'Kielt,USA,Almond Choco,2021-10-22,8799,629
Mallorie Waber,Australia,99% Dark & Pure,2021-10-22,3570,149
Marney O'Breen,India,Raspberry Choco,2021-10-22,721,37
Roddy Speechley,Canada,Spicy Special Slims,2021-10-25,6972,698
Brien Boise,USA,Peanut Butter Cubes,2021-10-25,1435,80
Rafaelita Blaksland,UK,99% Dark & Pure,2021-10-25,6678,279
Madelene Upcott,New Zealand,70% Dark Bites,2021-10-25,3647,521
Barr Faughny,USA,99% Dark & Pure,2021-10-25,2016,84
Camilla Castle,Australia,Orange Choco,2021-10-25,11655,648
Jehu Rudeforth,USA,Milk Bars,2021-10-25,15596,980
Andria Kimpton,Canada,Caramel Stuffed Bars,2021-10-25,3626,214
Wilone O'Kielt,Canada,Smooth Sliky Salty,2021-10-25,4312,700
Madelene Upcott,USA,Fruit & Nut Bars,2021-10-25,7042,441
Kelci Walkden,UK,After Nines,2021-10-25,1575,99
Gunar Cockshoot,New Zealand,50% Dark Bites,2021-10-26,8645,321
Kelci Walkden,UK,Peanut Butter Cubes,2021-10-26,2485,147
Andria Kimpton,Australia,50% Dark Bites,2021-10-26,8001,297
Ches Bonnell,India,Eclairs,2021-10-26,9107,1540
Barr Faughny,Australia,Fruit & Nut Bars,2021-10-26,3752,268
Kaine Padly,Canada,Fruit & Nut Bars,2021-10-26,518,37
Rafaelita Blaksland,UK,Mint Chip Choco,2021-10-26,2751,212
Andria Kimpton,Canada,70% Dark Bites,2021-10-26,8246,1050
Camilla Castle,UK,50% Dark Bites,2021-10-26,11620,465
Barr Faughny,India,Peanut Butter Cubes,2021-10-26,11578,610
Jehu Rudeforth,India,Peanut Butter Cubes,2021-10-26,2163,128
Madelene Upcott,Canada,Milk Bars,2021-10-26,13006,840
Marney O'Breen,India,Milk Bars,2021-10-26,9275,546
Marney O'Breen,UK,85% Dark Bars,2021-10-26,280,16
Van Tuxwell,UK,99% Dark & Pure,2021-10-26,1253,53
Jan Morforth,New Zealand,Choco Coated Almonds,2021-10-26,3262,272
Camilla Castle,India,Drinking Coco,2021-10-26,4907,189
Rafaelita Blaksland,Australia,70% Dark Bites,2021-10-26,3150,350
Gigi Bohling,USA,85% Dark Bars,2021-10-26,13426,672
Barr Faughny,UK,Almond Choco,2021-10-26,9947,700
Mallorie Waber,Australia,After Nines,2021-10-26,4704,262
Karlen McCaffrey,USA,50% Dark Bites,2021-10-26,3605,139
Gigi Bohling,New Zealand,Choco Coated Almonds,2021-10-26,4263,356
Mallorie Waber,USA,Orange Choco,2021-10-26,4921,247
Beverie Moffet,Canada,Drinking Coco,2021-10-26,11445,441
Husein Augar,UK,Smooth Sliky Salty,2021-10-26,7518,910
Karlen McCaffrey,UK,Smooth Sliky Salty,2021-10-26,7245,910
Gunar Cockshoot,Canada,Choco Coated Almonds,2021-10-26,2415,202
Kelci Walkden,New Zealand,Organic Choco Syrup,2021-10-26,9079,413
Mallorie Waber,India,Smooth Sliky Salty,2021-10-26,1673,279
Ches Bonnell,Canada,Caramel Stuffed Bars,2021-10-26,518,35
Rafaelita Blaksland,Canada,Choco Coated Almonds,2021-10-26,2758,276
Husein Augar,UK,Fruit & Nut Bars,2021-10-26,2296,144
Jehu Rudeforth,Canada,Baker's Choco Chips,2021-10-26,1890,79
Jan Morforth,USA,Eclairs,2021-10-26,518,87
Karlen McCaffrey,Canada,Orange Choco,2021-10-26,140,7
Karlen McCaffrey,New Zealand,After Nines,2021-10-26,13293,770
Madelene Upcott,UK,Smooth Sliky Salty,2021-10-26,9506,1610
Van Tuxwell,USA,Spicy Special Slims,2021-10-26,12222,1330
Karlen McCaffrey,Canada,Almond Choco,2021-10-26,2030,145
Van Tuxwell,Australia,Peanut Butter Cubes,2021-10-26,4235,236
Karlen McCaffrey,Canada,Fruit & Nut Bars,2021-10-26,3010,201
Kaine Padly,Australia,Almond Choco,2021-10-26,5656,378
Jan Morforth,Canada,White Choc,2021-10-26,9751,770
Beverie Moffet,USA,Caramel Stuffed Bars,2021-10-26,6412,378
Brien Boise,Canada,Drinking Coco,2021-10-26,420,16
Oby Sorrel,Australia,85% Dark Bars,2021-10-26,5635,282
Gigi Bohling,USA,70% Dark Bites,2021-10-26,8351,1190
Brien Boise,New Zealand,Drinking Coco,2021-10-26,364,15
Madelene Upcott,UK,White Choc,2021-10-27,7518,579
Marney O'Breen,Australia,85% Dark Bars,2021-10-27,10409,548
Karlen McCaffrey,UK,Orange Choco,2021-10-27,2303,116
Roddy Speechley,New Zealand,Milk Bars,2021-10-27,9331,584
Curtice Advani,New Zealand,Raspberry Choco,2021-10-27,392,18
Camilla Castle,New Zealand,Eclairs,2021-10-27,1568,262
Roddy Speechley,Australia,Caramel Stuffed Bars,2021-10-27,5033,297
Jehu Rudeforth,Australia,Eclairs,2021-10-27,4550,569
Dennison Crosswaite,USA,Eclairs,2021-10-27,6202,1050
Oby Sorrel,USA,Choco Coated Almonds,2021-10-27,6230,520
Andria Kimpton,Canada,Drinking Coco,2021-10-27,5376,200
Rafaelita Blaksland,New Zealand,50% Dark Bites,2021-10-27,11410,457
Kaine Padly,New Zealand,Baker's Choco Chips,2021-10-27,3192,133
Kaine Padly,India,Peanut Butter Cubes,2021-10-27,4886,272
Jehu Rudeforth,Canada,Manuka Honey Choco,2021-10-27,3304,151
Barr Faughny,USA,Organic Choco Syrup,2021-10-27,469,22
Gunar Cockshoot,UK,70% Dark Bites,2021-10-27,3304,368
Husein Augar,USA,Drinking Coco,2021-10-27,4375,175
Jan Morforth,Australia,Organic Choco Syrup,2021-10-27,2751,115
Wilone O'Kielt,India,Fruit & Nut Bars,2021-10-27,7896,494
Kaine Padly,New Zealand,Raspberry Choco,2021-10-27,9345,425
Jehu Rudeforth,New Zealand,Eclairs,2021-10-27,5355,910
Mallorie Waber,Canada,Manuka Honey Choco,2021-10-27,14,1
Van Tuxwell,New Zealand,Smooth Sliky Salty,2021-10-27,5460,683
Beverie Moffet,India,85% Dark Bars,2021-10-27,1141,64
Kelci Walkden,UK,Drinking Coco,2021-10-27,1932,75
Wilone O'Kielt,India,Mint Chip Choco,2021-10-27,1330,103
Dotty Strutley,UK,Fruit & Nut Bars,2021-10-27,12103,840
Camilla Castle,India,White Choc,2021-10-27,6643,511
Van Tuxwell,Canada,99% Dark & Pure,2021-10-27,6034,275
Dennison Crosswaite,Australia,Almond Choco,2021-10-27,6664,476
Jehu Rudeforth,Canada,Almond Choco,2021-10-27,13797,980
Camilla Castle,New Zealand,Mint Chip Choco,2021-10-27,1659,139
Andria Kimpton,UK,Manuka Honey Choco,2021-10-27,1890,83
Beverie Moffet,UK,White Choc,2021-10-27,112,10
Kaine Padly,USA,White Choc,2021-10-27,329,28
Curtice Advani,Canada,Almond Choco,2021-10-27,10829,677
Husein Augar,Australia,70% Dark Bites,2021-10-27,8302,1050
Mallorie Waber,USA,Milk Bars,2021-10-27,4123,243
Dotty Strutley,Australia,Eclairs,2021-10-27,5684,700
Dotty Strutley,Australia,85% Dark Bars,2021-10-27,581,31
Andria Kimpton,Australia,Organic Choco Syrup,2021-10-27,1869,78
Ches Bonnell,India,After Nines,2021-10-27,6881,405
Dennison Crosswaite,Canada,Almond Choco,2021-10-27,1554,98
Camilla Castle,New Zealand,Manuka Honey Choco,2021-10-27,5061,221
Kaine Padly,UK,Manuka Honey Choco,2021-10-27,4655,212
Husein Augar,Australia,Caramel Stuffed Bars,2021-10-27,4067,255
Karlen McCaffrey,Canada,After Nines,2021-10-27,4529,267
Ches Bonnell,Australia,Spicy Special Slims,2021-10-27,19159,2380
Gigi Bohling,Australia,After Nines,2021-10-27,4340,272
Beverie Moffet,Canada,Milk Bars,2021-10-27,7679,452
Andria Kimpton,Canada,Smooth Sliky Salty,2021-10-27,714,90
Dotty Strutley,India,50% Dark Bites,2021-10-27,3801,141
Roddy Speechley,Australia,Smooth Sliky Salty,2021-10-27,6461,840
Marney O'Breen,USA,Organic Choco Syrup,2021-10-27,7539,328
Wilone O'Kielt,India,Choco Coated Almonds,2021-10-27,6524,594
Van Tuxwell,New Zealand,Peanut Butter Cubes,2021-10-28,7721,455
Dotty Strutley,USA,Baker's Choco Chips,2021-10-28,3619,158
Dotty Strutley,India,Almond Choco,2021-10-28,8015,573
Madelene Upcott,USA,99% Dark & Pure,2021-10-28,5866,267
Wilone O'Kielt,UK,Orange Choco,2021-10-28,2835,158
Karlen McCaffrey,New Zealand,Peanut Butter Cubes,2021-10-28,10227,569
Rafaelita Blaksland,USA,Choco Coated Almonds,2021-10-28,2555,233
Andria Kimpton,Canada,White Choc,2021-10-28,77,7
Barr Faughny,Canada,Fruit & Nut Bars,2021-10-28,5138,343
Dennison Crosswaite,New Zealand,After Nines,2021-10-28,6930,408
Jehu Rudeforth,New Zealand,50% Dark Bites,2021-10-28,5817,233
Curtice Advani,India,50% Dark Bites,2021-10-28,4445,171
Brien Boise,New Zealand,Orange Choco,2021-10-28,23702,1190
Jehu Rudeforth,Canada,Eclairs,2021-10-28,12236,2030
Curtice Advani,UK,After Nines,2021-10-28,13244,840
Wilone O'Kielt,India,Eclairs,2021-10-28,5236,840
Oby Sorrel,USA,Raspberry Choco,2021-10-28,833,38
Kaine Padly,UK,Organic Choco Syrup,2021-10-28,5271,240
Karlen McCaffrey,Canada,Manuka Honey Choco,2021-10-28,2142,98
Oby Sorrel,Australia,Fruit & Nut Bars,2021-10-28,12733,770
Gunar Cockshoot,USA,99% Dark & Pure,2021-10-28,203,9
Ches Bonnell,New Zealand,Fruit & Nut Bars,2021-10-28,259,18
Dennison Crosswaite,New Zealand,85% Dark Bars,2021-10-28,4557,228
Husein Augar,Canada,Choco Coated Almonds,2021-10-28,5656,472
Beverie Moffet,Canada,50% Dark Bites,2021-10-28,6496,260
Curtice Advani,USA,70% Dark Bites,2021-10-28,2849,317
Van Tuxwell,India,50% Dark Bites,2021-10-28,3514,136
Dotty Strutley,UK,Almond Choco,2021-10-28,4438,278
Oby Sorrel,Australia,Choco Coated Almonds,2021-10-28,1904,191
Rafaelita Blaksland,Australia,Milk Bars,2021-10-28,7665,451
Rafaelita Blaksland,Canada,Baker's Choco Chips,2021-10-28,13671,570
Madelene Upcott,Australia,Almond Choco,2021-10-28,13244,840
Barr Faughny,UK,99% Dark & Pure,2021-10-28,7518,314
Jehu Rudeforth,Australia,Mint Chip Choco,2021-10-28,6650,555
Camilla Castle,New Zealand,Baker's Choco Chips,2021-10-28,5943,271
Dotty Strutley,USA,Milk Bars,2021-10-28,14154,910
Curtice Advani,New Zealand,Peanut Butter Cubes,2021-10-28,11508,606
Karlen McCaffrey,India,Choco Coated Almonds,2021-10-28,6300,630
Van Tuxwell,Australia,White Choc,2021-10-29,315,27
Dennison Crosswaite,Canada,Caramel Stuffed Bars,2021-10-29,1022,64
Oby Sorrel,New Zealand,White Choc,2021-10-29,3850,321
Oby Sorrel,Canada,Spicy Special Slims,2021-10-29,1841,185
Camilla Castle,UK,Spicy Special Slims,2021-10-29,2191,274
Barr Faughny,UK,Choco Coated Almonds,2021-10-29,5943,595
Barr Faughny,New Zealand,Raspberry Choco,2021-10-29,5635,282
Gigi Bohling,India,Almond Choco,2021-10-29,350,22
Wilone O'Kielt,USA,Mint Chip Choco,2021-10-29,10500,770
Roddy Speechley,India,Peanut Butter Cubes,2021-10-29,9107,506
Ches Bonnell,New Zealand,Baker's Choco Chips,2021-10-29,1169,51
Dennison Crosswaite,India,Manuka Honey Choco,2021-10-29,2191,96
Kelci Walkden,New Zealand,Milk Bars,2021-10-29,6475,432
Barr Faughny,Australia,Organic Choco Syrup,2021-10-29,2751,126
Gunar Cockshoot,UK,Spicy Special Slims,2021-10-29,3346,372
Camilla Castle,Canada,70% Dark Bites,2021-11-01,5124,570
Jehu Rudeforth,UK,Organic Choco Syrup,2021-11-01,168,7
Ches Bonnell,USA,Fruit & Nut Bars,2021-11-01,7252,454
Rafaelita Blaksland,India,99% Dark & Pure,2021-11-01,5243,228
Dotty Strutley,New Zealand,Almond Choco,2021-11-01,3248,203
Wilone O'Kielt,New Zealand,50% Dark Bites,2021-11-01,5397,200
Brien Boise,Australia,Mint Chip Choco,2021-11-01,5117,394
Oby Sorrel,Australia,Eclairs,2021-11-01,231,29
Wilone O'Kielt,USA,Baker's Choco Chips,2021-11-01,6503,283
Roddy Speechley,UK,Orange Choco,2021-11-01,10717,536
Wilone O'Kielt,UK,50% Dark Bites,2021-11-01,7917,305
Camilla Castle,India,Orange Choco,2021-11-01,15764,910
Husein Augar,Canada,Fruit & Nut Bars,2021-11-01,11340,770
Beverie Moffet,New Zealand,85% Dark Bars,2021-11-01,5530,292
Van Tuxwell,New Zealand,70% Dark Bites,2021-11-01,2149,239
Dennison Crosswaite,Canada,Mint Chip Choco,2021-11-02,1855,155
Brien Boise,Australia,99% Dark & Pure,2021-11-02,6174,269
Mallorie Waber,UK,Baker's Choco Chips,2021-11-02,9814,447
Rafaelita Blaksland,India,Peanut Butter Cubes,2021-11-02,10220,602
Jan Morforth,Australia,Eclairs,2021-11-02,294,49
Dotty Strutley,UK,Choco Coated Almonds,2021-11-02,9226,910
Curtice Advani,Australia,50% Dark Bites,2021-11-02,8701,349
Dotty Strutley,Canada,Raspberry Choco,2021-11-02,6139,307
Husein Augar,India,Raspberry Choco,2021-11-02,3675,175
Karlen McCaffrey,India,Eclairs,2021-11-02,10164,1470
Kelci Walkden,Australia,After Nines,2021-11-02,16751,980
Jehu Rudeforth,UK,Raspberry Choco,2021-11-02,14476,700
Camilla Castle,Australia,Spicy Special Slims,2021-11-02,8883,980
Ches Bonnell,Australia,50% Dark Bites,2021-11-02,4991,185
Karlen McCaffrey,UK,Caramel Stuffed Bars,2021-11-02,10213,601
Dotty Strutley,USA,Eclairs,2021-11-02,11557,1960
Brien Boise,USA,Almond Choco,2021-11-02,5110,320
Mallorie Waber,Canada,Baker's Choco Chips,2021-11-02,5740,250
Van Tuxwell,Canada,White Choc,2021-11-02,15295,1190
Brien Boise,Australia,Peanut Butter Cubes,2021-11-02,2737,153
Dotty Strutley,USA,Mint Chip Choco,2021-11-02,1946,150
Andria Kimpton,Australia,Peanut Butter Cubes,2021-11-02,8232,434
Gunar Cockshoot,India,Choco Coated Almonds,2021-11-02,637,64
Roddy Speechley,Australia,85% Dark Bars,2021-11-02,9681,510
Wilone O'Kielt,New Zealand,Smooth Sliky Salty,2021-11-02,13048,2170
Andria Kimpton,UK,Mint Chip Choco,2021-11-02,1106,86
Wilone O'Kielt,USA,Drinking Coco,2021-11-02,5656,218
Kelci Walkden,UK,White Choc,2021-11-02,693,63
Brien Boise,USA,Spicy Special Slims,2021-11-02,10143,1260
Kaine Padly,USA,Fruit & Nut Bars,2021-11-02,2058,147
Van Tuxwell,USA,Organic Choco Syrup,2021-11-02,9331,389
Andria Kimpton,UK,Choco Coated Almonds,2021-11-02,2870,240
Oby Sorrel,UK,Drinking Coco,2021-11-02,2163,84
Van Tuxwell,UK,Raspberry Choco,2021-11-02,10241,466
Brien Boise,UK,Organic Choco Syrup,2021-11-02,1134,50
Curtice Advani,Australia,Baker's Choco Chips,2021-11-02,2814,118
Ches Bonnell,UK,Drinking Coco,2021-11-02,14609,585
